序号,供应商名称,地区,成立时间,注册资本/规模,企业类型,主营对口产品,核心优势,产品大类,建议对接优先级,备注
1,金发科技 (KINGFA),广州,1993,上市公司,上市公司,改性塑料、特种工程塑料、完全生物降解塑料、碳纤维复合材料,亚太第一、全球领先，年产超百万吨，服务1000+知名企业,塑料原料（改性/树脂）,A-最高优先级,"出口经验丰富，资质最全，适合大宗原料及高端改性塑料合作"
2,国恩科技,青岛,2000,6000万+,上市公司,家电/汽车专用改性塑料、玻纤增强、阻燃材料,海信/LG/美的/三星/通用五菱等核心供应商，上市背景,塑料原料（改性/树脂）,A-最高优先级,"家电汽车领域配套成熟，适合需要主机厂认证材料的订单"
3,道恩集团 (DAWN),烟台,1991,大型集团,大型民营企业,汽车专用料、阻燃塑料、玻纤增强塑料、合金塑料、特种工程塑料,国内改性塑料产能最大、研发品种最多的基地之一,塑料原料（改性/树脂）,A-最高优先级,"产能大、品种全，适合多品种、大批量的原料采购"
4,会通新材料 (orinko),合肥,--,1.7亿元,国家级高新技术企业,改性聚苯乙烯/聚烯烃/聚酯/聚酰胺,家电/汽车/电动工具领域龙头配套企业,塑料原料（改性/树脂）,B-高优先级,"安徽家电配套企业十强，性价比高，适合华东地区采购"
5,聚赛龙,广州,1998,--,大型高新技术企业,PP、PA、PC、ABS、PBT、PET等改性塑料及合金,年产10万吨，汽车/家电/电子电器/建材多领域覆盖,塑料原料（改性/树脂）,B-高优先级,"华南地区布局完善，适合多品类中小批量灵活供应"
6,南塑建材 (皇冠),深圳/常熟,--,3.3亿港币,港资大型集团,PVC管材、管件、型材,中国塑料管道十大顶级品牌，投资4.9亿港币，出口经验丰富,塑料制品,B-高优先级,"PVC管材管件首选，尤其适合出口非洲、东南亚、中东市场"
7,紫江集团,上海,1980s,上市公司,上市公司,PET瓶坯/瓶盖、饮料包装、日化包装,年营收84亿+，可口可乐/蒙牛/联合利华等战略合作伙伴,塑料制品,A-最高优先级,"PET瓶坯、瓶盖巨头，食品级包装资质齐全，适合 beverage/食品包装类出口"
8,四川长虹模塑,绵阳,--,1.2亿元,国有控股大型企业,汽车注塑件、家电塑料件、精密模具,综合性模塑企业，工业设计+模具制造+注塑喷涂一体化,塑料制品,B-高优先级,"适合需要开模+注塑一条龙服务的汽车/家电零部件项目"
9,安徽宏裕包材,宜昌,1986,新三板挂牌,新三板挂牌企业,塑料彩印软包装、医药食品包装、食品级注塑包装,安琪酵母控股子公司，30+年包装生产经验,塑料制品,B-高优先级,"软包装、医药包装经验丰富，适合食品、医药类塑料制品订单"
10,金冠（龙海）塑料包装,福建漳州,1985,--,大型民营企业,生物降解塑料袋、PE包装、食品级包装,175亩工业园，欧盟TUV/BPI/澳洲认证，百胜/华润万家供应商,塑料制品,B-高优先级,"降解袋、环保袋领域领先，资质认证全，适合欧美环保要求市场"
11,彤程新材 (Red Avenue),上海,--,上市公司,上市公司,橡胶/塑料助剂、特种添加剂,国内助剂领域龙头上市公司，研发与出口能力强,塑料添加剂,A-最高优先级,"上市公司背景，助剂研发能力强，适合高端添加剂、稳定剂合作"
12,聚石化学,清远,2007,--,国家级高新技术企业,无卤阻燃PP/PE/PBT/PA/ABS/TPU/TPE等,13年+专注无卤阻燃新材料，八大系列产品体系完整,塑料添加剂,B-高优先级,"无卤阻燃细分领域龙头，适合对阻燃有高要求的出口订单"
13,深圳华力兴,深圳,2002,5000万元,国家级高新技术企业,高端改性工程塑料、PC/ABS/PBT/PA等功能材料,国家级高新技术企业，手机/LED/变压器细分市场占有率高,塑料添加剂,B-高优先级,"高端工程塑料及功能改性材料，适合电子电气类高附加值产品"
14,沃特新材 (WOTE),深圳,2001,--,国家级高新技术企业,特种高分子材料、环保工程塑料、塑料合金、热塑性弹性体,年产40万吨能力，通讯/电子/汽车/航空航天多领域,塑料添加剂,B-高优先级,"产能大、品类广，特种高分子材料领域综合实力强"
15,营口风光新材料,营口,--,--,专业化工企业,抗氧化剂、光稳定剂、抗老化助剂,10年+历史，聚烯烃/橡胶抗老化领域专业生产商,塑料添加剂,C-中优先级,"抗老化助剂细分领域专精，适合作为抗氧化剂/光稳定剂的稳定供货源"
